   -4.5390 7.43519469D-04
   -4.5380 1.48526763D-03
   -4.5370 2.22524931D-03
   -4.5360 2.96346934D-03
   -4.5350 3.69993253D-03
   -4.5340 4.43464366D-03
   -4.5330 5.16760753D-03
   -4.5320 5.89882889D-03
   -4.5310 6.62831251D-03
   -4.5300 7.35606313D-03
   -4.5290 8.08208549D-03
   -4.5280 8.80638429D-03
   -4.5270 9.52896424D-03
   -4.5260 1.02498300D-02
   -4.5250 1.09689864D-02
   -4.5240 1.16864379D-02
   -4.5230 1.24021893D-02
   -4.5220 1.31162452D-02
   -4.5210 1.38286102D-02
   -4.5200 1.45392889D-02
   -4.5190 1.52482860D-02
   -4.5180 1.59556060D-02
   -4.5170 1.66612536D-02
   -4.5160 1.73652332D-02
   -4.5150 1.80675495D-02
   -4.5140 1.87682070D-02
   -4.5130 1.94672102D-02
   -4.5120 2.01645636D-02
   -4.5110 2.08602718D-02
   -4.5100 2.15543393D-02
   -4.5090 2.22467704D-02
   -4.5080 2.29375698D-02
   -4.5070 2.36267418D-02
   -4.5060 2.43142910D-02
   -4.5050 2.50002216D-02
   -4.5040 2.56845383D-02
   -4.5030 2.63672453D-02
   -4.5020 2.70483471D-02
   -4.5010 2.77278480D-02
   -4.5000 2.84057525D-02
   -4.4990 2.90820649D-02
   -4.4980 2.97567895D-02
   -4.4970 3.04299308D-02
   -4.4960 3.11014930D-02
   -4.4950 3.17714804D-02
   -4.4940 3.24398974D-02
   -4.4930 3.31067482D-02
   -4.4920 3.37720371D-02
   -4.4910 3.44357685D-02
   -4.4900 3.50979465D-02
   -4.4890 3.57585754D-02
   -4.4880 3.64176595D-02
   -4.4870 3.70752029D-02
   -4.4860 3.77312100D-02
   -4.4850 3.83856848D-02
   -4.4840 3.90386316D-02
   -4.4830 3.96900545D-02
   -4.4820 4.03399578D-02
   -4.4810 4.09883456D-02
   -4.4800 4.16352220D-02
   -4.4790 4.22805912D-02
   -4.4780 4.29244573D-02
   -4.4770 4.35668244D-02
   -4.4760 4.42076966D-02
   -4.4750 4.48470781D-02
   -4.4740 4.54849728D-02
   -4.4730 4.61213849D-02
   -4.4720 4.67563183D-02
   -4.4710 4.73897773D-02
   -4.4700 4.80217657D-02
   -4.4690 4.86522877D-02
   -4.4680 4.92813473D-02
   -4.4670 4.99089483D-02
   -4.4660 5.05350949D-02
   -4.4650 5.11597911D-02
   -4.4640 5.17830407D-02
   -4.4630 5.24048478D-02
   -4.4620 5.30252163D-02
   -4.4610 5.36441502D-02
   -4.4600 5.42616533D-02
   -4.4590 5.48777297D-02
   -4.4580 5.54923831D-02
   -4.4570 5.61056176D-02
   -4.4560 5.67174369D-02
   -4.4550 5.73278451D-02
   -4.4540 5.79368459D-02
   -4.4530 5.85444431D-02
   -4.4520 5.91506407D-02
   -4.4510 5.97554425D-02
   -4.4500 6.03588524D-02
   -4.4490 6.09608740D-02
   -4.4480 6.15615112D-02
   -4.4470 6.21607679D-02
   -4.4460 6.27586478D-02
   -4.4450 6.33551547D-02
   -4.4440 6.39502923D-02
   -4.4430 6.45440644D-02
   -4.4420 6.51364748D-02
   -4.4410 6.57275271D-02
   -4.4400 6.63172252D-02
   -4.4390 6.69055727D-02
   -4.4380 6.74925733D-02
   -4.4370 6.80782307D-02
   -4.4360 6.86625486D-02
   -4.4350 6.92455307D-02
   -4.4340 6.98271807D-02
   -4.4330 7.04075021D-02
   -4.4320 7.09864987D-02
   -4.4310 7.15641741D-02
   -4.4300 7.21405318D-02
   -4.4290 7.27155756D-02
   -4.4280 7.32893090D-02
   -4.4270 7.38617357D-02
   -4.4260 7.44328591D-02
   -4.4250 7.50026830D-02
   -4.4240 7.55712108D-02
   -4.4230 7.61384461D-02
   -4.4220 7.67043924D-02
   -4.4210 7.72690534D-02
   -4.4200 7.78324325D-02
   -4.4190 7.83945333D-02
   -4.4180 7.89553592D-02
   -4.4170 7.95149138D-02
   -4.4160 8.00732005D-02
   -4.4150 8.06302229D-02
